,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,Shared topic 16,Shared topic 17,Shared topic 18,Shared topic 20,H3K27me3 private topic 1
Snx21,-1.3112546,-0.0457381,-1.4912194,-2.7521992,-3.927565,-1.0227727,0.36859083,-0.8392743,-1.2074234,-1.1313367,-3.701409,-1.6364496,0.2006532,-2.9562209,-1.1436568,-2.1493053,-0.37989146,-1.1420394
Thy1,-0.11367483,-0.16540936,-0.5097353,-2.5819893,-0.31000745,0.16805306,-0.5325084,-0.3969945,-0.09795697,-0.05179374,-0.264477,0.28007716,-0.85574216,0.46299922,0.10073583,0.21893248,-0.16826218,-0.105298124
Gpr37l1,-0.99734515,-0.67396873,1.6886201,-1.9627658,-3.3771338,-0.9944647,-0.47419468,-1.4683706,-0.8108596,-1.2970347,-1.4630847,-1.3656862,-0.9118148,-2.3372808,-1.142082,-0.42637092,-0.22183122,-0.74717647
Dbn1,-0.5877699,-0.80479795,1.0384116,-2.5860155,-0.86253506,-1.5444595,0.9386705,-2.3072865,-1.6312827,0.0026904196,-2.596826,-1.0244498,0.412955,-3.7981546,-1.5705129,-1.0147612,-1.3063214,-1.1009547
Gbf1,0.09750578,-0.3727932,-1.1017315,0.05720775,-0.94330716,-0.20200221,-0.12996277,-0.18428196,0.06107959,-0.06921316,-0.17613529,0.106262326,-0.25424305,-0.49205095,0.38513654,-0.5127453,-0.92541707,-0.14474052
Hspb2,-0.406308,-0.14431643,-0.27435112,-2.7260537,-3.5727465,-1.413829,-0.2988858,-1.3938026,-2.2034369,0.7350255,-0.9117079,-1.6646451,0.5017086,-0.33675474,-3.3286726,-1.4325409,-2.2732193,-0.79713094
Aff3,-0.07961235,0.18803155,0.09051739,-0.47236243,-0.11392303,-0.5842413,-0.048589207,-0.9301864,0.1075294,-0.08974569,-0.72512245,0.4460082,-0.14290717,-1.6331015,-0.11910032,-0.72418547,-0.1328794,-0.19367708
Med22,-1.7523317,-2.6647825,-1.594506,-2.1917849,-3.6054935,-1.4286331,-0.8534217,-2.307467,-0.63251734,-2.172625,-1.1019008,-1.0412536,-2.0291324,-0.95276046,-1.3634318,-0.11572766,-1.4962332,-1.5042962
Gngt2,-0.49222064,-0.7404614,-1.2272937,0.036005348,0.49027127,-0.24510686,-0.53266186,-0.5636827,0.13291153,0.26450735,-0.19160806,-0.5935958,0.7978072,-0.03977354,-0.37687525,-0.74545455,-1.0804712,-0.3068655
Zbtb18,-1.3030545,0.25195742,-1.8620774,-0.6598631,0.58844054,-1.4618301,-1.5821353,-0.13537745,-0.13103867,-0.29957157,-1.3690417,-0.23948143,-0.3038843,0.47549337,0.73098564,1.0462451,0.14164081,-0.31247538
Gm10789,0.07831821,-2.2056394,-0.6593955,-2.709785,-1.333724,-0.51199204,-0.8546964,-0.4451809,-0.18744814,-0.24093014,-0.2441064,0.2763033,0.030000895,-1.0222888,-2.2877483,-0.3773114,0.00069078803,-0.36326516
Nfib,-0.23049699,0.15811408,-1.4777079,-0.24171025,-0.08828694,-0.8089429,0.16714081,-1.3337226,0.9292969,-0.5105602,-1.125223,0.040638745,-0.4947625,-3.0404184,0.09368488,-0.6489562,-1.332447,-0.31063443
Gpr20,-0.83100694,-0.2647794,-0.16628018,-0.27221894,-1.4033731,-0.3296366,-0.28123763,-0.8488048,-1.4709013,0.22665477,1.1914915,-1.195051,0.32863295,-0.81653565,-2.3563395,0.08566257,0.065187246,-0.21409263
Crmp1,-0.8627853,-0.70081556,0.054087788,0.06939264,-0.098497815,0.4743303,-0.47301847,0.34115985,-2.4602761,0.2761062,0.2811063,-0.47164655,-0.50639796,0.7368985,-2.3364983,-0.26478213,0.20332405,-0.10033013
Plk3,0.028912008,-0.18541344,-0.5489624,-0.27433604,-3.989267,0.22316164,-0.09706412,-0.10539843,-1.9563762,0.24080944,-0.24033025,-0.8852501,-0.77295744,-0.19654813,-4.2110195,-0.28705895,-0.21420103,-0.29244837
