,Shared topic 1,Shared topic 2,Shared topic 9,Transcriptomics private topic 1,Transcriptomics private topic 2,Transcriptomics private topic 4,Proteomics private topic 4
47_26,0.06308202,0.03631204,0.29098973,0.019933302,0.16309147,0.18404317,0.24254823
40_19,0.10857862,0.054235585,0.17631924,0.043934867,0.36015233,0.21925054,0.03752867
27_30,0.06751535,0.054598827,0.044331662,0.016496833,0.41510057,0.36367196,0.038284846
58_17,0.13131177,0.11723656,0.09927047,0.37015,0.0414784,0.043925423,0.19662736
22_49,0.04941979,0.29494476,0.09882664,0.0437567,0.22004966,0.21500455,0.07799789
93_15,0.16371286,0.06162054,0.10758979,0.3219842,0.041103665,0.037321392,0.2666676
118_54,0.07539672,0.28073758,0.09221597,0.1045664,0.15742494,0.15246914,0.13718921
98_17,0.32987833,0.06386041,0.10127703,0.36230576,0.048768483,0.048426047,0.04548384
94_58,0.3054662,0.07015543,0.08982081,0.39821967,0.04171617,0.040190157,0.054431677
42_44,0.02299601,0.26394674,0.01169259,0.021007827,0.27292845,0.34023666,0.067191675
115_46,0.081319526,0.2617454,0.1399746,0.28078774,0.076251216,0.0846126,0.0753089
37_46,0.022609571,0.51968986,0.042399116,0.021594252,0.17435533,0.18248399,0.036867905
87_56,0.28917566,0.08534424,0.07533938,0.36445138,0.05848727,0.06447778,0.06272437
47_18,0.18114392,0.07565105,0.06704811,0.28613633,0.099869244,0.06533795,0.22481337
81_48,0.113986336,0.08168167,0.03853894,0.35450566,0.037899267,0.04467087,0.32871723
59_42,0.1196006,0.11164355,0.038378395,0.2024675,0.08696944,0.09170328,0.3492372
123_69,0.14137627,0.04915494,0.13312772,0.021311643,0.35281387,0.28641582,0.015799675
83_29,0.0673071,0.23901658,0.15359835,0.20311625,0.07998274,0.080383494,0.17659552
8_44,0.13378283,0.026689759,0.03581895,0.014652857,0.33865544,0.2651392,0.185261
110_32,0.24608324,0.07545254,0.04477398,0.10197764,0.27566278,0.15868574,0.0973641
67_3,0.31002682,0.06812748,0.15288728,0.18640372,0.15582804,0.06861396,0.058112767
87_2,0.15890814,0.07047395,0.34150308,0.2525082,0.061723623,0.06403413,0.050848953
67_40,0.07626055,0.026712438,0.011542233,0.006797447,0.27232897,0.5714885,0.034869876
27_57,0.42214236,0.04178532,0.138627,0.22320846,0.057656206,0.063440345,0.053140264
74_7,0.112342775,0.04436185,0.058077116,0.021896817,0.3518476,0.35629368,0.055180226
92_34,0.15625064,0.10973875,0.15858142,0.12659632,0.12644166,0.20428386,0.11810737
43_40,0.051265746,0.30727553,0.131303,0.08766256,0.16317993,0.14338094,0.11593231
102_54,0.3402418,0.07002066,0.07032714,0.4030889,0.034104142,0.029667445,0.052549873
44_17,0.19451116,0.053796202,0.14571796,0.024809446,0.30479175,0.18439089,0.09198266
20_39,0.15022412,0.065041,0.23779392,0.06576289,0.26140034,0.14886968,0.0709081
94_37,0.15318182,0.0434294,0.043982174,0.017887002,0.2850855,0.3431192,0.113314904
38_55,0.16561082,0.053726126,0.07813536,0.023010168,0.35568285,0.30207214,0.021762611
30_49,0.027369315,0.5188806,0.10661041,0.10103353,0.08344096,0.077018425,0.08564674
98_14,0.2370343,0.059511613,0.17880794,0.06747926,0.20941745,0.12969862,0.11805087
110_61,0.121282175,0.030298878,0.30999607,0.033303224,0.18794371,0.1014308,0.21574509
109_51,0.25726736,0.06614313,0.16260774,0.3774406,0.041298803,0.049339846,0.045902558
