,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 1,Transcriptomics private topic 2,Transcriptomics private topic 3,Transcriptomics private topic 4,Transcriptomics private topic 5,Metabolomics private topic 1,Metabolomics private topic 2,Metabolomics private topic 3,Metabolomics private topic 4,Metabolomics private topic 5
49,0.010295467,0.044996966,0.06492811,0.4100896,0.030177342,0.050446536,0.032440163,0.03621793,0.006240466,0.052612968,0.04214334,0.05656675,0.033826806,0.04019555,0.01604166,0.018121729,0.008477492,0.01654922,0.02963189
50,0.023430297,0.017933821,0.041137535,0.41021395,0.051309638,0.07483869,0.021470547,0.016454635,0.024489101,0.041348826,0.034930654,0.06648114,0.030546352,0.036134653,0.01844359,0.021682141,0.016943462,0.022884332,0.029326567
51,0.038558666,0.044295684,0.026750144,0.17697042,0.040180467,0.035924286,0.052254427,0.030330617,0.04287891,0.055041417,0.05358181,0.08122171,0.047724307,0.04597524,0.027529376,0.043805134,0.07775444,0.041637845,0.03758515
52,0.02516882,0.019128043,0.022095187,0.42356682,0.012077364,0.017388884,0.038677495,0.059401434,0.040574815,0.03201886,0.024290524,0.054436613,0.025237603,0.023613183,0.017468916,0.022692518,0.10855828,0.018814018,0.014790787
53,0.017185554,0.037675746,0.016862081,0.2556589,0.0150335785,0.019100394,0.041862186,0.037789155,0.09402486,0.028558683,0.0156031335,0.06110292,0.020402657,0.018405518,0.028338598,0.025597982,0.21573746,0.030330047,0.020730661
54,0.028623458,0.020815829,0.04289292,0.42506558,0.032557312,0.034437306,0.038536407,0.042700708,0.05965381,0.024165327,0.014800279,0.050094206,0.018572764,0.018016191,0.016527254,0.019870982,0.06970849,0.020285752,0.022675384
55,0.044034176,0.026913924,0.030140271,0.37958503,0.051020116,0.026794696,0.027516004,0.025514431,0.051014856,0.024235385,0.01646451,0.053949725,0.021551797,0.023694653,0.01668124,0.0245727,0.117632486,0.021767782,0.01691617
56,0.028415827,0.010693528,0.021145131,0.4148847,0.0763274,0.029352363,0.038523406,0.0322395,0.026230179,0.016871892,0.012108008,0.06520717,0.020938583,0.033936176,0.014633264,0.02421006,0.102367334,0.017989386,0.013926162
57,0.028997261,0.027527152,0.016036283,0.3784837,0.030710695,0.033442218,0.03497073,0.03637066,0.025291964,0.0232857,0.016879851,0.07575364,0.025040286,0.044244017,0.01286121,0.027061962,0.133242,0.015479235,0.0143214455
58,0.02559889,0.021666816,0.01843447,0.44683668,0.03632658,0.032470763,0.052165333,0.025696298,0.03809218,0.020482913,0.015477462,0.06694387,0.021426417,0.041069355,0.011480712,0.018793533,0.08261062,0.013022832,0.011404278
59,0.028559417,0.051770292,0.02862301,0.3048005,0.010331032,0.024145305,0.031279072,0.06619758,0.018976962,0.050953116,0.031272206,0.044688843,0.022488445,0.0240271,0.018306544,0.031192333,0.16937938,0.02367243,0.019336399
60,0.023335142,0.037773147,0.022562912,0.19265682,0.060239937,0.043011215,0.05251028,0.027602453,0.02014656,0.041913416,0.034824885,0.05955019,0.020121139,0.019827617,0.017182682,0.03716662,0.23996475,0.026766464,0.022843754
61,0.017503722,0.04554128,0.03866191,0.27838013,0.03361823,0.03278592,0.023115966,0.08334752,0.026074981,0.04373548,0.03848946,0.06645961,0.021647632,0.021897383,0.040875737,0.041972857,0.079906166,0.02452769,0.041458406
62,0.030030325,0.070418775,0.07083689,0.16241264,0.06632929,0.03525608,0.02261909,0.052054655,0.07272869,0.032203868,0.03437214,0.08184788,0.020159535,0.022817694,0.057165824,0.03517658,0.072836846,0.024153754,0.036579438
63,0.019170795,0.0332941,0.05533774,0.24652144,0.11451815,0.033578224,0.017082874,0.06271051,0.028217526,0.026180277,0.027634466,0.048554186,0.024606178,0.07766398,0.058337633,0.029188272,0.046341777,0.019447945,0.03161399
64,0.014084513,0.13854644,0.036174968,0.1590915,0.021772591,0.026497276,0.01886323,0.020363456,0.037214603,0.024187488,0.026246693,0.04657267,0.033342045,0.18302923,0.018150106,0.030407984,0.13280901,0.020460395,0.012185796
65,0.04339446,0.046655785,0.040715214,0.21734318,0.059817918,0.022736395,0.050252967,0.06272591,0.01988005,0.09183632,0.07480792,0.050048426,0.048704077,0.055304967,0.01276599,0.034132212,0.009507607,0.024583083,0.034787476
66,0.03404017,0.027176315,0.08343072,0.24149169,0.038301643,0.031604387,0.028068757,0.090040006,0.057051796,0.10597441,0.045125525,0.047939822,0.038121305,0.04143578,0.015497304,0.01824608,0.0061745457,0.013740455,0.036539227
67,0.028720237,0.012910834,0.048232414,0.41455528,0.03925148,0.020885253,0.03370518,0.022872189,0.026308302,0.060551174,0.047323056,0.074319325,0.039902374,0.04260096,0.015856823,0.019010033,0.0077087623,0.014020044,0.03126632
68,0.016036257,0.024658993,0.055869874,0.5210419,0.012337008,0.034672637,0.025893133,0.024129642,0.018769784,0.030473098,0.026898796,0.07365674,0.024053985,0.03232274,0.0132702235,0.01714002,0.007626167,0.014702476,0.026446465
69,0.014870918,0.035570752,0.025598498,0.4161719,0.029014634,0.022805588,0.05163291,0.030069785,0.021283314,0.047626857,0.0412775,0.06799851,0.034410577,0.043751724,0.020711226,0.025179584,0.01815002,0.023192322,0.030683486
70,0.030097695,0.04856059,0.0535443,0.3485291,0.016915627,0.015363129,0.047161024,0.025730038,0.03670428,0.04426427,0.038235597,0.06195622,0.033433218,0.041415285,0.020719532,0.029578455,0.034509506,0.037639193,0.03564298
71,0.021724207,0.024644716,0.032594565,0.5202308,0.010854071,0.01293763,0.04038634,0.039997347,0.03515169,0.03406505,0.026312416,0.049375214,0.025449228,0.03303106,0.015636507,0.018578183,0.02151881,0.016608747,0.020903422
72,0.026748614,0.027276611,0.023457773,0.37264445,0.022563988,0.02709933,0.04798876,0.017716479,0.11722814,0.027231716,0.019862989,0.0638506,0.022602651,0.02678215,0.025598343,0.02400043,0.046494007,0.033595476,0.027257456
73,0.018115392,0.023411788,0.0137143005,0.4849614,0.027478287,0.019534614,0.034418035,0.02686407,0.048747238,0.021380505,0.014388656,0.06077534,0.018093241,0.022381384,0.016709028,0.022437144,0.091425054,0.019345554,0.01581895
74,0.021336403,0.01670643,0.014510991,0.49604094,0.031750463,0.036075518,0.028181026,0.018569374,0.04958495,0.014103463,0.011335145,0.05509289,0.016562829,0.029663704,0.018092586,0.022440853,0.07972843,0.022192923,0.0180311
75,0.03481421,0.021839438,0.029174898,0.40010387,0.025986444,0.03297472,0.023725804,0.07448458,0.03184508,0.021052588,0.016752977,0.06804535,0.021713542,0.035245173,0.019162493,0.025980944,0.07677833,0.02211133,0.01820824
