,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 1,Transcriptomics private topic 2,Transcriptomics private topic 3,Transcriptomics private topic 4,Transcriptomics private topic 5
TALDO1,-0.56188595,-0.90551937,-0.11907044,-1.0973473,-1.1035056,0.15754735,0.020455658,-0.006282866,0.24909514,-0.6876806,0.04468006,-1.0251647,0.26845676,-1.8427641
LSP1,0.037350178,-1.1449091,0.87668777,-1.3545845,0.33982837,-1.2216287,-0.34931928,-3.342525,-3.4811015,-2.3094397,-1.3330072,-2.589339,-3.6854897,0.58903456
H19,-0.0440076,-0.46460202,-0.7379644,-3.65546,-1.544246,0.9391165,0.1414625,-1.4918807,-0.018357158,-1.1169404,-1.4059676,-3.3316586,0.3481894,-3.6972942
HBB,-4.7010927,-1.8608384,-3.3548367,-0.44951096,-1.0680578,-2.4167147,0.304448,-1.2191991,-1.3484024,-1.0488251,-2.0864828,-2.2006502,-0.29587704,-2.0324097
CAVIN3,-0.20740803,-0.5278044,-1.0049945,0.0072370768,-0.7418096,-0.5300262,-0.20721474,-0.21694471,-0.19607615,-0.16032544,-0.3222196,-0.016434535,-0.25427923,-0.4027755
DENND5A,-0.2503214,-0.12465924,-0.010349244,-0.28052044,-0.29974604,-0.49998054,-1.9401522,-1.1113319,-0.69159895,-0.1771522,-0.5612261,-0.459035,-2.1900063,-0.538109
ADM,-0.18315645,-0.139133,-0.7641176,-0.0763493,-0.06218817,-0.38247424,-0.26850984,-0.3117718,-0.16810691,-0.15941365,-0.28741068,0.10634202,-0.14997892,-0.06836922
MTRNR2L8,0.21405488,-0.46857536,-2.3663657,0.15628916,-1.0636079,-0.87387556,0.33863193,-0.54325175,-0.5119512,-1.1446335,-2.4939785,0.14346322,0.18509814,-0.24794894
DKK3,-0.09400624,0.1316751,-0.21315321,-0.66908455,-0.27623567,-0.26411903,-0.43090105,-0.22783649,-0.68355423,-0.11553757,-0.26800406,-0.8236674,-0.38733587,-0.38172457
SPON1,-1.7829314,-0.5118816,-0.5430547,-0.20336315,-0.75145555,-0.25152478,-0.29463765,-0.26699612,-0.30819032,-0.19769171,-0.33870098,-0.13913725,-0.11978608,-0.57632565
HTATIP2,-1.9259955,-4.1772985,-0.56176543,-1.5255483,-0.75159955,0.058475554,-1.8499742,-0.44309834,-0.01837331,-2.5924897,0.37121773,-0.026253939,-1.0463934,-3.0705469
