,Shared topic 2,Shared topic 3,Shared topic 6,Omics 1 private topic 3,Omics 1 private topic 6,Omics 1 private topic 10
251,-4.4480295,-1.5639683,2.1085024,-3.791027,-4.114938,-5.0883193
252,-5.266416,-2.9165978,-4.0822406,-4.2937264,-1.7939718,2.968693
253,-3.7517827,-1.0450557,2.2186508,-4.295834,-3.2386887,-4.854976
254,2.371386,-1.7062194,-2.2361572,-4.1776056,-2.4568768,-4.896894
255,-4.2209563,-1.310667,-2.796547,-3.8376431,2.0303278,-4.7397447
256,-4.8489423,-3.8056185,-4.1973953,-4.20966,-3.2912552,2.3452337
257,-4.5191517,-3.806841,-2.5568643,2.2435446,-3.8076847,-4.724844
258,-3.3705196,-2.2303977,-2.4784353,-3.6120872,2.2745137,-4.7861586
259,2.3263168,-2.7635949,-2.0887113,-2.5021613,-3.2948747,-4.388564
260,-4.330221,1.9276711,-2.629434,-3.9013243,-2.788641,-4.278106
261,-2.7608972,-2.623743,2.3057508,-2.6105554,-3.674435,-4.6710954
262,-4.8559337,-1.5256234,-2.7569537,2.3996587,-5.157573,-4.2968445
263,-4.903967,-2.7895813,-1.8531021,2.3462305,-4.066595,-4.632994
264,-5.1942472,-2.4446485,-2.9820468,-3.983326,-3.4343674,2.5269668
265,2.2411427,-3.156136,-0.5238314,-3.4004018,-1.9051006,-4.9542985
266,-3.126738,1.7524676,-3.2040296,-2.9943354,-4.1192904,-4.6895685
267,-5.1286454,-1.8691422,-2.6749043,-4.6893587,2.4114752,-4.815573
268,-4.948887,-1.0959609,-3.3636556,2.455449,-2.7534304,-4.8405614
269,-5.0753894,-2.4556026,-2.9224102,-3.5125177,-2.1181793,2.1238914
270,-3.3200316,-2.3497577,-4.063066,2.195169,-2.2181573,-5.036589
271,-4.5830073,-3.9326124,2.1017303,-2.9330149,-3.08182,-4.2983246
272,-5.3016624,-1.6462476,-4.228203,-2.779831,2.321771,-4.177966
273,-3.5742722,-2.6787124,1.9151323,-3.437313,-3.4131758,-5.0045977
274,-4.388324,1.9675126,-2.626452,-3.864162,-2.2812977,-4.9679008
275,-4.2118845,-3.4888263,-2.725814,2.39531,-1.0984204,-4.877416
276,-5.4217587,-3.9874651,-2.4215102,-3.5038974,-1.7399808,2.502152
277,-4.4617186,2.0405688,-2.087128,-3.8839436,-4.130555,-4.4767284
278,2.204618,-1.2801718,-3.6338065,-3.7712731,-0.9675664,-4.8680015
279,-4.9339223,-1.1611342,2.0548303,-3.9654384,-4.422556,-4.0215454
280,-5.1738396,-3.2409983,-3.2595987,2.088904,-3.5047803,-4.5924478
281,2.302644,-2.714694,-2.1729407,-3.4887931,-4.2488317,-4.8047395
282,2.0055547,-1.9507928,-4.604561,-4.1325846,-1.756396,-4.990022
283,-5.16309,1.7463435,-4.481947,-2.522488,-0.96513426,-4.9133034
284,-5.130271,-2.4960601,-3.14467,-2.9168773,-2.786058,2.469512
285,-2.5801163,2.122613,-3.0838485,-4.624029,-2.073245,-4.677641
286,2.0969057,-1.661082,-1.5724458,-3.2947018,-4.062321,-4.0660486
287,-5.4962316,-1.586873,-3.681816,1.748467,-1.133975,-4.7831674
288,-4.080166,2.0936954,-1.6347837,-2.3566954,-4.051881,-4.8135524
289,2.4985664,-3.5814722,-2.0186465,-3.6571026,-0.9586276,-4.7379513
290,2.4444878,-2.3242478,-2.261743,-2.6115277,-4.25173,-4.070696
291,-4.7946815,-1.7540109,-1.6848259,-3.3679633,2.2588005,-4.3697844
292,-3.5049603,1.7590977,-4.4996624,-4.028037,-3.6558876,-3.7240698
293,-4.3666677,-2.8507733,1.9729769,-2.6952567,-3.7706382,-4.9578266
294,-3.7636223,-2.97785,-3.221908,2.2327576,-3.626349,-4.604109
295,-4.949853,1.8608179,-4.4597797,-4.2002916,-3.4923103,-4.8908296
296,-4.925743,-2.6360998,2.0933437,-3.89964,-2.5600388,-4.450599
297,-4.8553114,-1.7626371,-2.574387,-4.3083897,1.9327531,-4.258337
298,-5.1505303,-2.0454905,-3.0424762,1.933915,-4.2899575,-4.770556
299,2.3129137,-2.5647905,-2.2249613,-4.4170184,-2.4893374,-4.45504
300,-4.7567053,1.9540107,-2.1838765,-3.7228255,-3.3547788,-4.028409
301,-3.831691,-2.5166056,-3.1685586,2.1742394,-1.8275318,-4.626125
302,2.273293,-2.7143028,-3.3756666,-3.649858,-2.9991448,-5.114149
303,2.1136277,-2.0773647,-2.5738416,-4.0053988,-2.8863404,-4.451851
304,-5.1455345,-2.82977,-2.790982,-4.1383295,2.1391072,-4.0279016
305,2.2428982,-1.6412194,-2.8610156,-3.1286001,-2.4552574,-3.8145063
306,-5.302683,-2.8662922,-3.7044964,-3.6366389,-4.089824,2.429392
307,-3.320137,-1.3571805,-2.1470046,-1.7825239,2.1433933,-4.6790943
308,-4.556738,2.0020475,-2.922212,-4.009172,-2.6196609,-4.735531
309,-4.5521555,1.9736904,-3.6021163,-1.8042926,-3.9098694,-4.399003
310,-5.065341,-3.7894754,-4.6174855,-4.230078,-3.24441,2.9668941
311,-3.053753,-1.7085645,-4.525551,-3.7639918,-2.7622244,2.799615
312,-5.192304,1.8886923,-3.80658,-3.797262,-4.021265,-4.102549
313,-5.8325257,-3.5441885,-3.6147342,-3.8683085,-3.8310442,2.6678376
314,-5.2249765,-2.3300183,-2.65126,-3.5477417,2.3424685,-5.0502977
315,-3.2873023,-2.1912708,2.0538898,-2.7286546,-1.815803,-4.636274
316,-2.930155,1.7773591,-2.9709923,-4.346076,-3.734096,-4.622103
317,-5.0715423,-3.9361403,2.1381707,-2.918047,-3.9304733,-4.640465
318,-4.87052,-2.8942003,-3.5220125,2.2146668,-2.8684971,-3.849745
319,-4.830817,2.0999503,-2.4015398,-3.6997926,-3.2616627,-4.3118544
320,-5.020489,-4.7036333,-4.149509,-3.5786343,-3.5596132,2.5948627
321,-3.0603943,-2.2960443,2.1766872,-3.2622986,-1.5233772,-4.860705
322,2.553454,-2.5783324,-2.1884446,-1.7200403,-2.888239,-4.048295
323,-4.7396665,-2.7211537,-4.6970935,2.0707777,-2.2956288,-4.473914
324,-5.14998,-3.4721994,-2.292119,2.3394852,-3.2804646,-4.7575207
325,-5.229067,-2.8713064,-4.6490498,-3.996153,-3.434163,2.6577342
326,-4.179855,1.8718402,-2.7635403,-3.1416097,-2.9679368,-4.108717
327,2.3352213,-1.5853839,-3.220039,-3.7201025,-4.1912565,-4.977125
328,-4.9004707,1.8926104,-4.6252217,-3.3575234,-2.573718,-4.6807084
329,2.4058735,-2.4320138,-2.541041,-3.3542295,-1.5129175,-4.9905224
330,-4.91834,-1.5869322,-1.5516092,-3.5494409,2.4709795,-4.2917886
331,-4.5067034,-2.4716673,2.1248055,-3.3082702,-3.4012964,-4.510501
