Shared topic 2,Shared topic 3,Shared topic 6,Omics 1 private topic 3,Omics 1 private topic 6,Omics 1 private topic 10,Omics 2 private topic 2,Omics 2 private topic 4,Omics 2 private topic 5
-0.31748205,-0.14808837,-0.2875711,-0.22412232,-0.57562387,2.9035435,-0.19779915,-0.43263185,-0.22993895
4.0531254,-0.47065324,-0.6257472,-0.21105619,-0.48493218,0.006644001,-0.3158591,-0.55687934,-0.2836812
0.03129986,-0.42746973,-0.34457907,-0.3224169,-0.11697536,0.2917961,3.599034,-0.44275585,-0.37448886
0.028756157,-0.5363514,-0.2862392,2.9616318,-0.5348325,-2.1445394,0.011196084,-0.47930062,-0.049926996
-0.27194136,-0.23627312,-0.2710715,-0.12686998,0.009098423,-0.27513602,-0.67171025,3.1155744,-0.30594683
-0.26650122,-0.013032973,-0.02664952,-0.17288545,-0.28198665,0.035390165,-0.22554278,-0.33952934,-0.11825628
-0.4609388,0.05018513,0.51816857,3.0077717,-0.5067344,-2.270204,-0.090289876,-0.29655224,-0.16515674
-0.38260236,-0.43684548,-0.28174353,-0.2693832,-0.26579362,0.09723788,-0.76506174,-0.63111633,3.6909978
-0.15523781,-0.17376055,-0.42891496,-0.12864643,0.097230874,-0.03555839,-0.7763823,-0.68129385,4.288863
-0.35787958,0.057980835,-0.24304621,-0.20325522,-0.25965193,-0.031981874,-0.52212816,2.8387234,-0.3768272
-0.49144226,-0.7339532,-0.28898042,-0.19736862,-0.05551833,-0.100337185,-0.35273895,0.07141893,-0.40680832
-0.44209272,0.20242244,0.17923838,-0.13502014,-0.13058098,-0.069996275,1.0871084,-0.5694028,-0.6657588
-0.20104733,-0.19533552,-0.45772362,-0.22043747,0.003378658,-0.16334143,3.318991,-0.5352617,-0.3147792
-0.30975944,-0.35508472,-0.15558109,-0.23777872,-0.2942259,0.10048799,0.43030947,-0.3814025,-0.43892255
-0.19158122,-0.0734474,-0.100815,-0.8668819,5.347687,-2.419781,-0.18474393,-0.3026734,-0.074695125
-0.10461185,-0.054548442,-0.18482558,-0.25886625,-0.19617777,0.3090859,-0.011520162,-0.42508784,-0.11702211
