Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Omics 1 private topic 4,Omics 1 private topic 6,Omics 2 private topic 5
-0.07309343,0.060328975,-0.12327733,-0.1287617,-0.36382616,-0.4130211,-0.062595725,-0.32665247,-0.23946382,-0.1548561
-0.9882506,-0.31656885,-0.4861067,-0.27504146,2.9604292,-0.64465845,-0.40418005,1.2034646,0.121171266,-0.38604224
-0.046492293,0.28763467,-0.13124068,3.0572276,-0.28411233,0.021789625,-0.10264536,-0.34637353,-0.23132786,-0.68560994
-0.21824619,-0.41756052,-0.26727334,-0.27782455,-0.29895604,0.08400358,-0.28703725,-0.09691587,-0.37644044,-0.37819746
0.65689206,-0.34486803,-0.3841324,-0.24133424,-0.23093024,0.32195985,-0.31334597,-0.2895622,-0.1527002,-0.09969888
-0.3136101,-0.32760403,-0.19719142,-0.3035632,-0.41216028,0.10149029,-0.31701344,-0.34052616,-0.14380929,-0.18264332
-0.13465917,-0.15302446,-0.18214828,-0.30387375,-0.38847482,-0.092886105,-0.21760678,-0.28749976,-0.2885605,-0.15010257
3.1461701,-0.39044014,-0.26391423,-0.34120068,-0.18129346,-0.96410275,-0.2635383,-0.37513533,-0.24830821,-0.291817
-0.40787628,-0.8006209,0.38912803,-0.58154845,-0.10379684,-0.2767358,-0.41519216,-0.34459215,-0.20566271,-0.07897308
-0.061155614,0.017349549,-0.25308743,-0.03928885,-0.21297711,0.5219571,-0.007986069,-0.32412273,-0.20130524,-0.19932304
-0.4183604,-0.4826541,-0.6322057,-0.69211507,2.9405646,-0.46497822,-0.7413703,-0.40779102,-0.27043712,-0.31026196
0.433485,-0.1802778,0.02820947,-0.030707046,0.00595176,-0.4775336,-0.020573974,-0.307066,-0.13763139,-0.1369981
-0.7758989,0.2625308,-0.18730992,-0.063483834,-0.218863,-0.09584097,0.13540514,-0.2852864,-0.24620755,-0.108530544
0.20870046,-0.2969996,0.13094595,-0.39747256,-0.33024496,-0.19374359,-0.019439809,-0.27857956,-0.18548764,-0.20075725
-0.28565884,-0.17811199,-0.1296393,-0.2684788,-0.21024095,-0.2765745,-0.30404374,-0.49448624,-0.1927133,-0.065613136
0.15442024,0.11424574,-0.06451539,-0.44881672,-0.17284028,0.0258964,-0.20033139,-0.3761226,-0.1652241,-0.08390325
-0.5575792,0.04587482,-0.24094488,-0.35045642,-0.069524474,-0.23316526,-0.30701455,-0.35150626,-0.2632881,-0.102449596
-0.15406415,-0.12625518,-0.64484346,-0.594439,-0.25640258,2.7816381,-0.27606302,-0.4226037,-0.19807108,-0.28727302
-0.20207343,-0.49437934,-0.44934025,-0.031012237,2.9567695,-0.21394145,-0.7657597,-0.39069852,-0.1476614,-0.31313774
3.735376,-0.48157704,-0.27219796,-0.4421572,-0.3176054,0.29550043,-0.070068955,-0.17232452,-0.100294955,-0.3359667
-0.54978305,-0.3309973,-0.22940709,-0.69651604,-0.26036015,-0.12945859,-0.020026146,-0.21281612,-0.18826568,3.8849764
0.3939699,-0.63303006,-0.20499858,3.7513037,-0.50631994,0.032796975,-0.27328962,-0.37938768,-0.19400035,-0.67254907
-0.45292836,4.115888,-0.49895877,-0.47909153,-0.28370774,-0.29588205,-0.3228494,-0.21155025,-0.20259951,-0.1910636
-0.056491897,-0.33998787,-0.43110007,-0.48491234,-0.26510024,-0.51434064,-0.26353672,0.4344891,-0.3760281,-0.19394204
0.5950626,-0.047894865,-0.10477179,-0.40370554,-0.2223143,0.569629,-0.62912744,-0.30191854,-0.13424137,-0.08197311
-1.130098,-0.49096867,3.936792,-0.6784203,-0.31503993,0.100971416,-0.63248634,-0.17967464,-0.24405314,-0.30557597
-0.48679656,-0.22856015,-0.50252825,1.974714,-0.43149835,-0.42131704,-0.26009262,-0.24245162,-0.12279186,-0.788012
-0.7593063,-0.3792791,3.4833226,-0.21969344,-0.3338338,-0.6241402,-0.048738495,-0.23765416,-0.23274948,-0.14295931
-0.43803295,-0.6636746,-0.2002424,-0.4247767,3.263792,-0.4281412,-0.57758236,-0.3873129,-0.2708548,-0.37321767
0.19714947,-0.34615806,-0.7535259,0.15323985,-0.46901947,-0.15650442,-0.37724918,1.7193679,0.3896319,4.083387
2.8338947,-0.15542883,-0.28975987,-0.2589546,-0.34790295,0.11142923,-0.37482497,0.3538644,-0.17975663,-0.15139034
0.06595146,-0.13547656,-0.16658159,-0.34685528,-0.12202778,0.16644917,-0.29320592,0.2861339,-0.06348018,-0.07511477
-0.14406271,-0.39787522,0.12627396,-0.14610365,-0.439373,-0.8366746,-0.21937047,-0.3364857,-0.11321523,-0.057252385
0.2049277,0.049657654,-0.2622866,-0.6620597,-0.08464506,0.62741315,0.17982572,-0.31892663,-0.22091006,4.0550237
-0.43945056,-0.50288,-0.31754565,0.3956303,-0.050842635,-0.48969692,-0.12541546,0.33023328,0.050179698,-0.17968765
-0.5124346,-0.69467086,-0.30646312,-0.59171176,-0.19346112,3.4274132,-0.34865746,-0.3965723,-0.29370552,0.05107802
-0.07978479,-0.2542747,-0.19725579,-0.19529745,-0.22696309,0.017807884,-0.17969108,-0.2577181,-0.16397129,-0.15757065
-0.2629794,-0.332923,-0.27600774,-0.2760007,-0.30042696,-0.23484963,-0.31181654,0.2513215,-0.5929163,-0.2918448
-0.55561054,-0.20205826,-0.29174444,-0.798308,2.9230025,-0.36656463,-0.22199726,1.0945083,0.39882827,-0.37578917
