,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Omics 1 private topic 4,Omics 1 private topic 6
171,-4.5408483,-1.0578698,-6.135836,2.802314,-1.3479762,-5.9583735,-1.7071303,-0.10293546,-3.6822865
172,-6.680318,2.6496348,0.14146155,-2.1336884,-4.4335766,-0.38556784,-0.9282174,-1.1814401,-3.899615
173,-5.145138,-0.16705397,2.8692577,-1.7361811,-5.318564,-1.7523265,0.28957433,-0.6528302,-4.511241
174,-5.4452825,-2.9555595,-0.53620124,-0.39577457,-5.0611024,2.5166159,-0.65188205,-0.52888566,-4.284339
175,-4.907394,-1.0637404,-1.0350909,2.9698706,-5.327886,-3.623894,-3.481194,-0.42719162,-5.1864276
176,-5.487394,-1.1364245,-3.8576248,-5.6712246,-3.2531817,2.9608984,-3.1587613,-0.34143674,-4.484746
177,-0.8410119,-1.0018024,-0.906349,-0.17367643,-3.7397985,-0.2955862,2.7076237,-0.88603675,-3.5468926
178,-3.8195887,-5.2257843,-0.32866168,-0.8428407,-6.3150744,2.6250937,0.07786745,-1.4541819,-3.2852712
179,2.8061802,-4.1065407,-4.9577365,-5.510349,-3.9631011,-3.6093812,-0.9110402,-2.0410724,-4.7669816
180,-3.47517,-2.103773,2.567653,-5.941786,-6.1901455,-3.1750028,-5.5345597,-2.2447228,-3.0163462
181,-1.1057745,2.8784478,-2.7121866,-1.0594966,-4.3000274,-3.1605816,-6.27295,-1.7312317,-3.6812074
182,-3.585399,2.8313518,-4.867433,-4.6895485,-5.145807,-5.2691956,-1.0000597,-2.3665156,-2.8187134
183,-2.99827,-3.611439,0.22073692,-5.3198576,-6.0160356,-6.2332873,-2.024847,-0.5687319,3.0895863
184,-3.576963,-1.4378784,-1.0945283,2.6975224,-1.9561472,-5.5355206,-0.9730729,-1.1606668,-4.1884604
185,0.015354872,2.5100944,-4.2333474,-5.5005054,-3.4394782,-3.8405259,-1.1232803,-3.062442,-4.162091
186,-1.1076186,-5.3100348,-6.3227477,-6.0430512,-5.998192,-5.523537,3.0950654,-5.78804,-3.9270952
187,-4.0676136,-3.3778598,-2.6787684,-5.164021,-5.668288,-5.601551,2.8896036,-0.6937443,-3.3395011
188,2.841962,-2.9813871,-2.5250823,-2.570757,-3.9064696,-5.443789,-5.1161046,-1.1418892,-3.8870826
189,-4.8070197,-2.7996256,-0.7709881,-7.0346637,2.961574,-5.193415,-3.4530284,-1.769163,-4.2707925
190,2.7367833,-3.50753,-3.901315,-0.1825546,-3.3189902,-3.233351,-5.496466,-0.8026258,-3.4633262
191,-4.741065,-6.3428097,-4.8751016,-6.382664,3.0108414,-0.6781099,-6.046866,-0.4610733,-4.5851116
192,-3.546494,-5.1132627,-0.35538813,-1.8551253,-4.797336,-4.3943305,3.0291317,-0.7075978,-3.0017052
193,-3.3767982,-2.8119893,2.9253516,-4.600432,-4.7235284,-1.7799914,-3.3264723,-3.976624,-3.6342137
194,2.8790746,-1.4607422,-1.5302792,-3.9580183,-6.0502563,-5.2497225,-0.72762114,-0.9103838,-4.0614614
195,-0.91733706,-5.4911065,-3.032924,-5.9442563,-6.541787,-4.9893374,-3.2616372,-0.12297785,2.9264421
196,-5.6026416,-0.82284224,2.7051973,-5.7731175,-5.017483,-1.5293947,-1.23281,-0.41434965,-5.3224244
197,3.0331852,-0.6551137,-1.2409991,-3.566958,-2.1134613,-4.2242193,-5.1930633,-6.5653143,-4.9199786
198,-6.1738834,-4.9306784,-5.851002,-0.7478154,-4.052338,-0.15302247,-5.521897,-0.3472727,3.073238
199,-0.42598346,-1.2065247,-3.7793312,2.8303063,-5.037392,-5.129937,-2.989526,-0.33604878,-5.3770847
200,-3.5380974,2.8092563,-3.7138038,-2.916104,-1.6909899,-3.699039,-5.5883484,-4.014721,-4.1165195
201,-5.5266023,-3.4368145,-5.8510637,2.9925961,-3.9490974,-5.77922,-1.3675555,-0.40712422,-2.355607
202,3.0168471,-1.5970173,-0.6138338,-3.3917017,-1.7149397,-2.236852,-3.2096717,-0.65177834,-4.523585
203,-4.1353865,-1.4511974,-2.3838077,-2.6143758,-5.1707687,-4.1843724,2.8306637,-2.0822945,-2.965745
204,-2.9207296,-5.90723,-5.4480247,-4.195237,-6.169862,2.7490907,-0.5642927,-5.2913394,-4.046755
205,-5.142077,-2.2245474,-3.0113559,2.6909533,-3.0254993,-4.598283,-6.308167,-0.44463524,-4.780406
206,-4.493886,-3.4058976,-0.006388962,2.6639824,-2.1179185,-4.670515,-0.14798921,-0.9265778,-5.031354
207,-1.8214066,-4.712738,-1.268165,-1.8620147,-5.553233,3.1247725,-1.028853,-0.6780764,-2.3138905
208,3.1595387,-0.51126087,-0.33727816,0.083473146,-3.2573621,-6.9037642,-3.4109287,-0.611115,-1.669898
209,-4.179343,2.4964764,-2.5825987,-1.1175455,-4.026064,-4.5126143,-6.259282,-3.178916,-4.392796
210,-4.7536297,-1.8940158,-3.7806983,-5.826436,2.980421,-5.452599,-4.6452894,-1.2231119,-3.7654612
211,-3.9164784,2.4192033,-1.6956947,-0.9506061,-5.1103454,-4.2575192,-2.2307243,-0.9697796,-3.628468
212,-2.5805166,-0.5254927,-0.5206546,0.09030163,-3.9312694,2.9878566,-0.6562453,-0.7060377,-2.2666507
213,-2.6553478,-0.7544787,-0.83927155,-5.3236203,2.7858212,-5.6031823,-1.0316117,-0.48640335,-1.6221079
